stop_id,time_interval,result
1308925,14,Citation
1308926,01,Citation
1308927,01,Citation
1308928,14,Citation
1308929,01,Citation
1308930,01,Citation
1308931,15,Citation
1308932,15,Citation
1308933,15,Citation
1308934,15,Citation
1308935,16,Written Warning
1308936,16,Citation
1308937,16,Citation
1308938,16,Citation
1308939,16,Citation
1308940,01,Citation
1308941,12,Citation
1308942,12,Citation
1308943,13,Citation
1308944,13,Citation
1308945,13,Citation
1308946,01,Citation
1308947,13,Citation
1308948,14,Citation
1308949,14,Citation
1308950,14,Citation
1308951,14,Citation
1308952,14,Citation
1308953,15,Citation
1308954,15,Citation
1308955,15,Citation
1308956,15,Citation
1308957,16,Citation
1308958,16,Citation
1308959,16,Citation
1308960,15,Citation
1308961,10,Written Warning
1308962,10,Citation
1308963,10,Citation
1308964,11,Citation
1308965,01,Citation
1308966,10,Citation
1308967,10,Citation
1308968,11,Citation
1308969,06,Citation
1308970,11,Citation
1308971,11,Citation
1308972,10,Citation
1308973,11,Citation
1308974,11,Citation
1308975,12,Written Warning
1308976,11,Citation
1308977,11,Citation
1308978,11,Citation
1308979,01,Searched
1308980,11,Citation
1308997,18,NULL
1309008,19,Citation
1309009,19,Citation
1309042,19,Citation
1309041,19,Citation
1309079,20,Verbal Warning
1309078,20,Verbal Warning
1309085,01,Citation
1309086,19,Citation
1309088,20,Verbal Warning
1309095,20,Verbal Warning
1309096,20,Verbal Warning
1309099,20,Verbal Warning
1309104,20,FI
1309106,20,Citation
1309105,20,Citation
1309111,20,Verbal Warning
1309115,21,Verbal Warning
1309121,21,NULL
1309135,20,Citation
1309161,21,Searched
1309162,21,Verbal Warning
1309211,21,Citation
1309210,21,Citation
1309226,21,Verbal Warning
1309227,21,Written Warning
1309228,22,Verbal Warning
1309229,22,Verbal Warning
1309231,22,NULL
1309230,21,Verbal Warning
1309232,22,NULL
1309233,22,Citation
1309234,22,Citation
1309235,22,Verbal Warning
1309237,22,Verbal Warning
1309236,21,Searched
1309238,22,Verbal Warning
1309239,23,Searched
1309240,22,Citation
1309241,22,Citation
1309245,22,Citation
1309246,22,Verbal Warning
1309253,22,Citation
1309255,22,Citation
1309257,23,Verbal Warning
1309263,22,Citation
1309281,19,Arrested
1309282,22,Verbal Warning
1309283,23,Citation
1309284,23,Verbal Warning
1309285,23,Verbal Warning
1309286,23,Verbal Warning
1309287,19,Verbal Warning
1309289,23,Verbal Warning
1309288,22,Verbal Warning
1309290,23,Searched
1309291,23,Citation
1309292,23,Arrested
1309293,23,Verbal Warning
1309294,00,Verbal Warning
1309295,00,Written Warning
1309296,00,Citation
1309297,00,Citation
1309298,19,Verbal Warning
1309299,19,Verbal Warning
1309300,00,Citation
1309301,23,Citation
1309302,01,NULL
1309303,01,Verbal Warning
1309305,21,Citation
1309304,21,Citation
1309306,21,Citation
1309307,01,Verbal Warning
1309308,02,Citation
1309309,02,Searched
1309310,02,Written Warning
1309311,02,Citation
1309312,02,Citation
1309313,02,Citation
1309314,03,Verbal Warning
1309315,01,Searched
1309316,04,Verbal Warning
1309317,05,Searched
1309319,09,Citation
1309318,08,Citation
1309320,11,Citation
1309322,11,Citation
1309321,06,Citation
1309323,07,Citation
1309324,07,Citation
1309325,07,Citation
1309326,07,Written Warning
1309327,07,Searched
